Task,Method,Sampler,Model,Batch,Seed,Size,r2,mae,rmse,rmse-rel,pearson,spearman
polymer_tg,ensemble,none,none,none,6,100,0.74935,0.37411,0.50065,0.50065,0.86761,0.87079
qm9_u298,penultimate,none,none,none,8,100,0.53603,0.49243,0.68116,0.68116,0.73322,0.74935
polymer_tg,penultimate,none,none,none,7,100,0.69162,0.41079,0.55532,0.55532,0.83471,0.84467
polymer_mt,ensemble,none,none,none,7,100,0.36677,0.60077,0.79576,0.79576,0.60817,0.58579
qm9_homo,embedding,none,none,none,0,100,0.53346,0.50643,0.68304,0.68304,0.73594,0.69657
qm9_alpha,embedding,none,none,none,6,100,0.47771,0.54227,0.7227,0.7227,0.70165,0.71666
qm9_mu,embedding,none,none,none,0,100,0.23771,0.6314,0.87309,0.87309,0.50748,0.5448
polygas_CH4,embedding,none,none,none,7,100,0.70833,0.33013,0.54006,0.54006,0.84895,0.84715
qm9_g298,embedding,none,none,none,7,100,0.47013,0.53665,0.72792,0.72792,0.69229,0.70604
logp,ensemble,none,none,none,5,100,0.49962,0.54566,0.70737,0.70737,0.70788,0.6773
esol,hallucinate,none,none,none,7,100,0.80449,0.33255,0.44216,0.44216,0.89877,0.88376
qm9_u298,penultimate,none,none,none,9,100,0.45956,0.5264,0.73515,0.73515,0.68447,0.72537
bace,ensemble,none,none,none,8,100,0.43175,0.57289,0.75382,0.75382,0.66489,0.66379
polygas_N2,ensemble,none,none,none,5,100,0.7793,0.28406,0.46978,0.46978,0.88387,0.8941
polygas_O2,ensemble,none,none,none,9,100,0.71515,0.32831,0.53371,0.53371,0.84675,0.86083
chain_gap,penultimate,none,none,none,0,100,0.70126,0.38597,0.54657,0.54657,0.84788,0.87112
lipo,random,none,none,none,4,100,0.16431,0.70912,0.91416,0.91416,0.47405,0.45242
lipo,penultimate,none,none,none,8,100,0.19524,0.69327,0.89708,0.89708,0.47788,0.47248
esol,hallucinate,none,none,none,2,100,0.7868,0.34598,0.46174,0.46174,0.89203,0.867
chain_gap,ensemble,none,none,none,4,100,0.71421,0.36417,0.53459,0.53459,0.85017,0.87366
polymer_mt,penultimate,none,none,none,7,100,0.40177,0.56413,0.77345,0.77345,0.66427,0.67642
polygas_He,penultimate,none,none,none,2,100,0.75987,0.31133,0.49003,0.49003,0.87758,0.88918
polymer_tg,embedding,none,none,none,3,100,0.71669,0.39117,0.53226,0.53226,0.85054,0.86206
qm9_u0,penultimate,none,none,none,4,100,0.40965,0.56829,0.76834,0.76834,0.64399,0.64935
polygas_H2,penultimate,none,none,none,2,100,0.68129,0.33676,0.56455,0.56455,0.83194,0.86729
logp,penultimate,none,none,none,0,100,0.4856,0.51238,0.71722,0.71722,0.69881,0.71792
pcqm4mv2_small,random,none,none,none,6,100,0.54072,0.50666,0.6777,0.6777,0.73779,0.73676
chain_gap,penultimate,none,none,none,7,100,0.61257,0.41761,0.62244,0.62244,0.81096,0.83824
lipo,ensemble,none,none,none,1,100,0.23751,0.69599,0.8732,0.8732,0.49781,0.4502
esol,hallucinate,none,none,none,3,100,0.78151,0.34888,0.46743,0.46743,0.88436,0.85988
polymer_tg,embedding,none,none,none,2,100,0.6388,0.4512,0.601,0.601,0.80823,0.81841
polygas_He,hallucinate,none,none,none,7,100,0.78999,0.31064,0.45827,0.45827,0.88933,0.90428
qm9_r2,embedding,none,none,none,1,100,0.50612,0.50473,0.70277,0.70277,0.72671,0.68436
polygas_CO2,ensemble,none,none,none,5,100,0.75964,0.28875,0.49026,0.49026,0.87526,0.89889
polygas_He,ensemble,none,none,none,3,100,0.7415,0.29223,0.50843,0.50843,0.862,0.8912
esol,hallucinate,none,none,none,9,100,0.73252,0.38482,0.51718,0.51718,0.8597,0.83419
polygas_O2,random,none,none,none,1,100,0.76812,0.31896,0.48154,0.48154,0.88037,0.8888
qm9_u0,embedding,none,none,none,8,100,0.44775,0.57601,0.74313,0.74313,0.71363,0.70522
polygas_CH4,hallucinate,none,none,none,0,100,0.69624,0.35509,0.55115,0.55115,0.84122,0.85127
polygas_CO2,hallucinate,none,none,none,7,100,0.77191,0.29915,0.47758,0.47758,0.87917,0.90039
qm9_h298,random,none,none,none,9,100,0.38655,0.56232,0.78323,0.78323,0.62932,0.67436
qm9_cv,random,none,none,none,9,100,0.59804,0.4789,0.63401,0.63401,0.77421,0.78737
bace,embedding,none,none,none,4,100,0.38643,0.56621,0.78331,0.78331,0.66193,0.62474
polymer_tg,embedding,none,none,none,0,100,0.68676,0.41962,0.55968,0.55968,0.84146,0.8534
polymer_o2,random,none,none,none,0,100,0.41732,0.36725,0.76334,0.76334,0.84169,0.15224
pcqm4mv2_small,ensemble,none,none,none,4,100,0.5686,0.48921,0.65681,0.65681,0.75631,0.75363
qm9_u298,random,none,none,none,9,100,0.44428,0.53035,0.74547,0.74547,0.66769,0.71247
polygas_N2,hallucinate,none,none,none,9,100,0.76979,0.30428,0.4798,0.4798,0.87743,0.90327
polygas_CH4,ensemble,none,none,none,0,100,0.81225,0.27385,0.4333,0.4333,0.90239,0.90808
polygas_He,hallucinate,none,none,none,3,100,0.76865,0.30224,0.48098,0.48098,0.87731,0.89804
polymer_tg,penultimate,none,none,none,5,100,0.70211,0.39963,0.54579,0.54579,0.84844,0.86012
polygas_CH4,hallucinate,none,none,none,6,100,0.7529,0.31341,0.49709,0.49709,0.86894,0.88017
pcqm4mv2_small,random,none,none,none,1,100,0.59226,0.47455,0.63855,0.63855,0.77227,0.7695
bace,embedding,none,none,none,6,100,0.30112,0.61453,0.83599,0.83599,0.60691,0.57885
qm9_homo,embedding,none,none,none,4,100,0.3751,0.5942,0.79051,0.79051,0.62364,0.59383
polygas_He,hallucinate,none,none,none,4,100,0.71964,0.33239,0.52949,0.52949,0.85117,0.86129
polygas_O2,hallucinate,none,none,none,2,100,0.75073,0.27749,0.49927,0.49927,0.88269,0.8903
pcqm4mv2_small,ensemble,none,none,none,3,100,0.52931,0.51909,0.68607,0.68607,0.73211,0.73029
qm9_zpve,embedding,none,none,none,6,100,0.8581,0.29815,0.37669,0.37669,0.93194,0.92578
polygas_CH4,random,none,none,none,8,100,0.69409,0.34813,0.55309,0.55309,0.8403,0.84822
qm9_u0,random,none,none,none,7,100,0.51875,0.47828,0.69372,0.69372,0.7238,0.75327
polymer_density,hallucinate,none,none,none,0,100,0.61553,0.40685,0.62006,0.62006,0.79499,0.79251
polygas_CH4,embedding,none,none,none,1,100,0.69283,0.33739,0.55423,0.55423,0.85623,0.86325
esol,random,none,none,none,6,100,0.77073,0.34615,0.47882,0.47882,0.87866,0.88696
qm9_g298,embedding,none,none,none,8,100,0.46937,0.54889,0.72845,0.72845,0.71141,0.72889
polygas_N2,ensemble,none,none,none,2,100,0.75886,0.29629,0.49106,0.49106,0.87224,0.88228
polygas_N2,hallucinate,none,none,none,4,100,0.73641,0.31424,0.51341,0.51341,0.86046,0.87109
polygas_He,penultimate,none,none,none,8,100,0.74539,0.31886,0.50459,0.50459,0.86837,0.87318
polygas_H2,hallucinate,none,none,none,9,100,0.75011,0.32121,0.49989,0.49989,0.86742,0.88745
qm9_alpha,embedding,none,none,none,2,100,0.4504,0.54391,0.74135,0.74135,0.68561,0.71814
polygas_He,random,none,none,none,9,100,0.67498,0.37083,0.5701,0.5701,0.84552,0.85661
polygas_N2,hallucinate,none,none,none,7,100,0.77147,0.30616,0.47805,0.47805,0.88305,0.88471
polygas_H2,random,none,none,none,2,100,0.7494,0.29853,0.5006,0.5006,0.87187,0.88151
sublimation,random,none,none,none,9,100,0.75782,0.34311,0.49212,0.49212,0.87274,0.87113
qm9_gap,random,none,none,none,7,100,0.72475,0.39666,0.52464,0.52464,0.85315,0.86716
chain_gap,hallucinate,none,none,none,5,100,0.68579,0.3856,0.56054,0.56054,0.83445,0.85715
polygas_O2,random,none,none,none,0,100,0.76302,0.30452,0.48681,0.48681,0.87454,0.87133
polymer_o2,ensemble,none,none,none,1,100,0.79906,0.21841,0.44826,0.44826,0.91288,0.38763
polygas_He,penultimate,none,none,none,5,100,0.70831,0.32952,0.54009,0.54009,0.8488,0.86699
polymer_tg,embedding,none,none,none,6,100,0.6818,0.41873,0.5641,0.5641,0.83222,0.84258
qm9_alpha,random,none,none,none,7,100,0.53402,0.48466,0.68263,0.68263,0.73144,0.75437
qm9_h298,embedding,none,none,none,6,100,0.57994,0.47307,0.64812,0.64812,0.76499,0.76617
qm9_zpve,random,none,none,none,1,100,0.87732,0.27301,0.35026,0.35026,0.94427,0.94129
bace,embedding,none,none,none,1,100,0.48406,0.53392,0.71829,0.71829,0.71618,0.69312
pcqm4mv2_small,embedding,none,none,none,5,100,0.55729,0.48837,0.66536,0.66536,0.75561,0.74874
qm9_u298,embedding,none,none,none,6,100,0.5424,0.51363,0.67646,0.67646,0.74449,0.73603
esol,ensemble,none,none,none,7,100,0.83654,0.29487,0.4043,0.4043,0.91542,0.90109
polygas_O2,ensemble,none,none,none,4,100,0.76507,0.28069,0.4847,0.4847,0.8781,0.88664
polygas_N2,embedding,none,none,none,8,100,0.7352,0.29897,0.51459,0.51459,0.85761,0.87304
esol,penultimate,none,none,none,3,100,0.72746,0.37235,0.52205,0.52205,0.85488,0.84833
lipo,penultimate,none,none,none,2,100,0.15429,0.71849,0.91963,0.91963,0.48234,0.46104
bace,penultimate,none,none,none,9,100,0.36747,0.58155,0.79532,0.79532,0.63295,0.607
polygas_CH4,random,none,none,none,0,100,0.74378,0.31586,0.50618,0.50618,0.86477,0.85495
qm9_r2,random,none,none,none,3,100,0.57807,0.47575,0.64956,0.64956,0.76792,0.74022
polygas_H2,random,none,none,none,6,100,0.7126,0.34544,0.5361,0.5361,0.85492,0.84964
polygas_O2,random,none,none,none,8,100,0.70832,0.33137,0.54008,0.54008,0.84422,0.85569
polygas_CH4,hallucinate,none,none,none,8,100,0.75842,0.31604,0.4915,0.4915,0.87906,0.88395
pcqm4mv2_small,embedding,none,none,none,9,100,0.58043,0.48045,0.64774,0.64774,0.76756,0.76853
polygas_O2,hallucinate,none,none,none,3,100,0.74584,0.30364,0.50414,0.50414,0.86488,0.86798
polymer_o2,ensemble,none,none,none,5,100,0.86723,0.16133,0.36438,0.36438,0.93949,0.28599
qm9_g298,embedding,none,none,none,0,100,0.44723,0.5673,0.74348,0.74348,0.70917,0.73998
qm9_alpha,random,none,none,none,6,100,0.52953,0.50075,0.68591,0.68591,0.7341,0.75635
polygas_O2,hallucinate,none,none,none,8,100,0.73598,0.32108,0.51383,0.51383,0.86812,0.88736
polygas_N2,random,none,none,none,4,100,0.73528,0.31353,0.51451,0.51451,0.86868,0.88239
polygas_CO2,random,none,none,none,8,100,0.67807,0.34285,0.56739,0.56739,0.82671,0.85151
qm9_g298,embedding,none,none,none,6,100,0.47915,0.5379,0.7217,0.7217,0.69933,0.72794
qm9_u0,embedding,none,none,none,9,100,0.4272,0.54421,0.75684,0.75684,0.66691,0.70749
qm9_r2,random,none,none,none,0,100,0.5259,0.49593,0.68855,0.68855,0.73066,0.68162
polygas_N2,embedding,none,none,none,2,100,0.77173,0.29356,0.47778,0.47778,0.88018,0.89513
polygas_H2,random,none,none,none,5,100,0.71005,0.33008,0.53847,0.53847,0.84577,0.85117
qm9_mu,random,none,none,none,5,100,0.24586,0.62173,0.86841,0.86841,0.53039,0.57252
polygas_CH4,embedding,none,none,none,4,100,0.72175,0.31604,0.52749,0.52749,0.85165,0.8571
polymer_density,hallucinate,none,none,none,1,100,0.57874,0.39536,0.64904,0.64904,0.76846,0.80383
polygas_CH4,hallucinate,none,none,none,3,100,0.74874,0.30897,0.50126,0.50126,0.86543,0.87705
polygas_H2,embedding,none,none,none,8,100,0.70607,0.33163,0.54215,0.54215,0.84204,0.86803
pcqm4mv2_small,random,none,none,none,3,100,0.49914,0.53158,0.70772,0.70772,0.71491,0.70887
qm9_lumo,embedding,none,none,none,0,100,0.81405,0.31634,0.43121,0.43121,0.90658,0.90365
polygas_CO2,penultimate,none,none,none,9,100,0.75398,0.30409,0.49601,0.49601,0.87237,0.89896
qm9_h298,ensemble,none,none,none,2,100,0.48482,0.5261,0.71776,0.71776,0.70386,0.69792
polymer_o2,embedding,none,none,none,0,100,-0.62602,0.49636,1.27515,1.27515,0.76889,0.32704
freesolv,hallucinate,none,none,none,7,100,0.81982,0.30453,0.42447,0.42447,0.91111,0.88756
qm9_homo,penultimate,none,none,none,8,100,0.4426,0.55807,0.74659,0.74659,0.66979,0.64579
polygas_He,penultimate,none,none,none,6,100,0.77641,0.27908,0.47285,0.47285,0.88311,0.90239
qm9_gap,ensemble,none,none,none,1,100,0.76891,0.36699,0.48071,0.48071,0.87767,0.88695
qm9_zpve,ensemble,none,none,none,8,100,0.85609,0.28849,0.37935,0.37935,0.92984,0.92478
qm9_mu,penultimate,none,none,none,6,100,0.00954,0.6705,0.99522,0.99522,0.49961,0.54304
qm9_u298,ensemble,none,none,none,4,100,0.57356,0.50715,0.65302,0.65302,0.76789,0.74993
qm9_g298,random,none,none,none,1,100,0.55185,0.48355,0.66944,0.66944,0.74318,0.7666
sublimation,random,none,none,none,6,100,0.68134,0.37958,0.5645,0.5645,0.82621,0.84232
lipo,hallucinate,none,none,none,8,100,0.23201,0.69217,0.87635,0.87635,0.50606,0.4619
qm9_h298,ensemble,none,none,none,5,100,0.53547,0.49933,0.68157,0.68157,0.74668,0.77274
qm9_mu,ensemble,none,none,none,1,100,0.12099,0.68319,0.93755,0.93755,0.44169,0.49861
qm9_r2,ensemble,none,none,none,4,100,0.57517,0.48677,0.65179,0.65179,0.75841,0.68084
polygas_CH4,penultimate,none,none,none,0,100,0.75847,0.31669,0.49146,0.49146,0.87683,0.87891
polygas_CH4,hallucinate,none,none,none,4,100,0.73762,0.32035,0.51223,0.51223,0.86095,0.86302
qm9_u298,ensemble,none,none,none,2,100,0.58761,0.46742,0.64218,0.64218,0.77226,0.75627
qm9_u298,ensemble,none,none,none,3,100,0.55739,0.47186,0.66529,0.66529,0.7468,0.76475
esol,penultimate,none,none,none,5,100,0.73414,0.37455,0.51561,0.51561,0.86798,0.84723
polygas_H2,random,none,none,none,4,100,0.76627,0.30342,0.48346,0.48346,0.88356,0.9075
qm9_lumo,ensemble,none,none,none,9,100,0.79389,0.34465,0.454,0.454,0.89497,0.89185
bace,hallucinate,none,none,none,9,100,0.40491,0.58257,0.77142,0.77142,0.65742,0.60845
polymer_o2,hallucinate,none,none,none,9,100,0.30667,0.21215,0.83266,0.83266,0.60226,0.28254
polygas_O2,penultimate,none,none,none,4,100,0.70737,0.31497,0.54095,0.54095,0.84819,0.86647
polygas_He,random,none,none,none,3,100,0.67325,0.33791,0.57162,0.57162,0.8286,0.8376
polygas_CO2,hallucinate,none,none,none,4,100,0.71883,0.30832,0.53026,0.53026,0.85095,0.86427
polygas_H2,ensemble,none,none,none,5,100,0.69135,0.31103,0.55556,0.55556,0.84295,0.85607
polygas_CH4,embedding,none,none,none,5,100,0.7576,0.29348,0.49234,0.49234,0.87342,0.89569
bace,ensemble,none,none,none,7,100,0.5197,0.51786,0.69304,0.69304,0.72092,0.67538
qm9_u298,embedding,none,none,none,5,100,0.46067,0.53841,0.73439,0.73439,0.70077,0.73534
polygas_H2,hallucinate,none,none,none,8,100,0.75881,0.30421,0.49111,0.49111,0.87181,0.8903
qm9_zpve,random,none,none,none,4,100,0.82029,0.32469,0.42392,0.42392,0.91478,0.90963
qm9_h298,penultimate,none,none,none,9,100,0.3428,0.59549,0.81068,0.81068,0.60807,0.63339
qm9_lumo,penultimate,none,none,none,4,100,0.78029,0.34424,0.46874,0.46874,0.8876,0.88709
qm9_mu,ensemble,none,none,none,2,100,0.27984,0.61874,0.84862,0.84862,0.54909,0.56575
polygas_He,random,none,none,none,4,100,0.73595,0.31451,0.51386,0.51386,0.87156,0.89889
polymer_o2,hallucinate,none,none,none,3,100,0.4844,0.31509,0.71805,0.71805,0.83747,0.25793
qm9_u298,penultimate,none,none,none,3,100,0.46147,0.55073,0.73385,0.73385,0.69624,0.70877
qm9_r2,penultimate,none,none,none,7,100,0.43583,0.54044,0.75111,0.75111,0.67705,0.64118
qm9_zpve,ensemble,none,none,none,0,100,0.82991,0.31802,0.41242,0.41242,0.91468,0.90802
qm9_zpve,ensemble,none,none,none,7,100,0.86272,0.28694,0.37052,0.37052,0.93431,0.93091
bace,penultimate,none,none,none,2,100,0.41444,0.55242,0.76522,0.76522,0.66863,0.62566
qm9_h298,ensemble,none,none,none,6,100,0.54885,0.46305,0.67168,0.67168,0.74738,0.77437
qm9_mu,ensemble,none,none,none,8,100,0.11936,0.67733,0.93842,0.93842,0.41792,0.48409
polygas_CO2,random,none,none,none,2,100,0.71699,0.32378,0.53198,0.53198,0.8481,0.8528
qm9_r2,ensemble,none,none,none,5,100,0.51062,0.50425,0.69955,0.69955,0.71984,0.67978
polygas_CH4,penultimate,none,none,none,2,100,0.71195,0.33272,0.53671,0.53671,0.84656,0.84389
polygas_N2,penultimate,none,none,none,8,100,0.76595,0.29697,0.48378,0.48378,0.88069,0.8975
lipo,embedding,none,none,none,6,100,0.19885,0.68821,0.89507,0.89507,0.51372,0.51046
qm9_g298,ensemble,none,none,none,8,100,0.58634,0.47493,0.64316,0.64316,0.76993,0.76086
qm9_u0,ensemble,none,none,none,6,100,0.54393,0.50165,0.67533,0.67533,0.74303,0.74638
lipo,hallucinate,none,none,none,6,100,0.16244,0.70512,0.91518,0.91518,0.45777,0.45384
polymer_mt,embedding,none,none,none,6,100,0.46481,0.53958,0.73157,0.73157,0.70545,0.69884
qm9_gap,ensemble,none,none,none,2,100,0.7307,0.39109,0.51894,0.51894,0.85998,0.8733
sublimation,embedding,none,none,none,0,100,0.64838,0.3926,0.59297,0.59297,0.80909,0.8195
freesolv,random,none,none,none,1,100,0.80009,0.28317,0.44711,0.44711,0.89658,0.90026
bace,embedding,none,none,none,8,100,0.33798,0.59864,0.81365,0.81365,0.6328,0.59399
polymer_tg,penultimate,none,none,none,0,100,0.68663,0.40985,0.5598,0.5598,0.83578,0.84618
logp,random,none,none,none,8,100,0.49635,0.50936,0.70968,0.70968,0.70863,0.72051
qm9_homo,penultimate,none,none,none,6,100,0.42192,0.55754,0.76032,0.76032,0.66262,0.62651
lipo,random,none,none,none,7,100,0.06112,0.75987,0.96896,0.96896,0.44627,0.43168
logp,penultimate,none,none,none,4,100,0.46406,0.53323,0.73208,0.73208,0.68874,0.67817
qm9_g298,random,none,none,none,8,100,0.53841,0.49158,0.6794,0.6794,0.74092,0.74648
lipo,random,none,none,none,9,100,0.14356,0.7246,0.92544,0.92544,0.43245,0.4125
qm9_r2,penultimate,none,none,none,4,100,0.58938,0.47719,0.6408,0.6408,0.77007,0.71691
qm9_alpha,ensemble,none,none,none,2,100,0.49856,0.52867,0.70812,0.70812,0.70874,0.72766
bace,hallucinate,none,none,none,6,100,0.53385,0.52564,0.68275,0.68275,0.73874,0.68722
qm9_g298,ensemble,none,none,none,3,100,0.55615,0.48404,0.66622,0.66622,0.75699,0.77872
qm9_u298,ensemble,none,none,none,0,100,0.53955,0.48686,0.67857,0.67857,0.7405,0.76661
qm9_g298,ensemble,none,none,none,4,100,0.60567,0.46222,0.62796,0.62796,0.78424,0.78295
qm9_u0,ensemble,none,none,none,3,100,0.5295,0.48192,0.68593,0.68593,0.72779,0.75794
esol,embedding,none,none,none,0,100,0.7941,0.3295,0.45376,0.45376,0.89512,0.89268
polygas_N2,penultimate,none,none,none,3,100,0.69591,0.31383,0.55144,0.55144,0.83962,0.84334
polygas_H2,embedding,none,none,none,4,100,0.70022,0.34738,0.54752,0.54752,0.84767,0.85952
polymer_mt,hallucinate,none,none,none,8,100,0.48068,0.54931,0.72064,0.72064,0.69595,0.68798
qm9_h298,embedding,none,none,none,0,100,0.51676,0.54243,0.69516,0.69516,0.74583,0.75099
polygas_N2,random,none,none,none,9,100,0.72291,0.33526,0.5264,0.5264,0.86432,0.86707
qm9_zpve,embedding,none,none,none,1,100,0.85434,0.28659,0.38165,0.38165,0.92613,0.9225
chain_gap,penultimate,none,none,none,6,100,0.667,0.39893,0.57706,0.57706,0.82643,0.84895
polygas_CH4,random,none,none,none,5,100,0.78191,0.28846,0.467,0.467,0.88829,0.89122
qm9_u298,penultimate,none,none,none,0,100,0.52985,0.45617,0.68567,0.68567,0.72868,0.77141
esol,ensemble,none,none,none,3,100,0.83651,0.30523,0.40433,0.40433,0.91498,0.90378
polymer_density,ensemble,none,none,none,4,100,0.64057,0.37224,0.59953,0.59953,0.80057,0.82324
qm9_u0,ensemble,none,none,none,2,100,0.58338,0.48627,0.64546,0.64546,0.7665,0.75317
sublimation,embedding,none,none,none,3,100,0.64251,0.41914,0.59791,0.59791,0.81458,0.8095
qm9_u298,embedding,none,none,none,1,100,0.54949,0.48792,0.6712,0.6712,0.74498,0.75988
polymer_tg,embedding,none,none,none,9,100,0.65628,0.42374,0.58628,0.58628,0.82314,0.83534
polymer_density,random,none,none,none,7,100,0.45057,0.43968,0.74124,0.74124,0.67961,0.77322
polygas_He,random,none,none,none,7,100,0.60066,0.39026,0.63193,0.63193,0.78394,0.80314
bace,embedding,none,none,none,2,100,0.50693,0.52564,0.70219,0.70219,0.72356,0.70295
polymer_mt,hallucinate,none,none,none,4,100,0.3604,0.62416,0.79975,0.79975,0.61253,0.5941
polygas_CH4,embedding,none,none,none,8,100,0.7432,0.30386,0.50676,0.50676,0.86628,0.88164
polygas_CH4,random,none,none,none,4,100,0.76865,0.29769,0.48099,0.48099,0.88941,0.90363
esol,embedding,none,none,none,9,100,0.73758,0.37764,0.51227,0.51227,0.85928,0.84666
polygas_CO2,embedding,none,none,none,8,100,0.68006,0.32339,0.56563,0.56563,0.82985,0.85115
polygas_H2,ensemble,none,none,none,1,100,0.74457,0.29688,0.5054,0.5054,0.8658,0.87496
polymer_mt,random,none,none,none,8,100,0.451,0.55262,0.74094,0.74094,0.68584,0.67171
qm9_homo,ensemble,none,none,none,7,100,0.41591,0.57503,0.76426,0.76426,0.65959,0.59278
chain_gap,penultimate,none,none,none,5,100,0.69372,0.3656,0.55343,0.55343,0.83798,0.8624
polymer_o2,hallucinate,none,none,none,0,100,0.35765,0.2006,0.80147,0.80147,0.64607,0.20837
lipo,penultimate,none,none,none,9,100,0.07404,0.75148,0.96227,0.96227,0.39558,0.38285
polygas_CO2,embedding,none,none,none,9,100,0.69043,0.34135,0.55639,0.55639,0.84388,0.85367
polygas_CH4,penultimate,none,none,none,1,100,0.75679,0.31116,0.49316,0.49316,0.87215,0.88027
polygas_He,random,none,none,none,1,100,0.80884,0.28114,0.43722,0.43722,0.90017,0.91688
qm9_lumo,ensemble,none,none,none,5,100,0.77999,0.3619,0.46905,0.46905,0.88659,0.88352
polymer_mt,penultimate,none,none,none,2,100,0.39701,0.57309,0.77652,0.77652,0.68648,0.67947
polygas_N2,penultimate,none,none,none,1,100,0.69278,0.36161,0.55427,0.55427,0.84689,0.84933
esol,embedding,none,none,none,8,100,0.75778,0.35764,0.49216,0.49216,0.87156,0.86059
polymer_mt,ensemble,none,none,none,8,100,0.49613,0.54401,0.70984,0.70984,0.71134,0.69052
logp,penultimate,none,none,none,9,100,0.48675,0.53772,0.71641,0.71641,0.70605,0.6964
polygas_N2,ensemble,none,none,none,0,100,0.77589,0.31148,0.4734,0.4734,0.88183,0.9032
polymer_mt,ensemble,none,none,none,1,100,0.42247,0.55853,0.75995,0.75995,0.67114,0.64764
polygas_H2,penultimate,none,none,none,7,100,0.77991,0.28724,0.46914,0.46914,0.88444,0.89312
sublimation,penultimate,none,none,none,1,100,0.66262,0.37023,0.58085,0.58085,0.82513,0.83321
polygas_N2,ensemble,none,none,none,3,100,0.73617,0.32871,0.51365,0.51365,0.86101,0.87628
logp,random,none,none,none,3,100,0.42065,0.53408,0.76115,0.76115,0.70193,0.70709
polymer_o2,random,none,none,none,6,100,0.3861,0.18159,0.78352,0.78352,0.69501,0.23949
