Task,Method,Sampler,Model,Batch,Seed,Size,r2,mae,rmse,rmse-rel,pearson,spearman
chain_gap,top,none,none,none,5,100,0.21203,0.66143,0.88768,0.88768,0.60492,0.62658
chain_gap,top,none,none,none,1,100,0.0255,0.75854,0.98717,0.98717,0.57413,0.59635
chain_gap,top,none,none,none,6,100,-0.00093,0.74175,1.00047,1.00047,0.53187,0.56777
bace,top,none,none,none,1,100,-0.17822,0.88019,1.08546,1.08546,0.47785,0.4415
polymer_o2,top,none,none,none,7,100,-0.02531,0.25271,1.01258,1.01258,0.02255,0.14253
bace,top,none,none,none,7,100,0.14296,0.72045,0.92576,0.92576,0.51266,0.41693
polymer_o2,top,none,none,none,6,100,0.09526,0.33063,0.95118,0.95118,0.31051,0.45454
polygas_O2,top,none,none,none,7,100,0.02061,0.71668,0.98964,0.98964,0.46887,0.44414
polygas_CH4,top,none,none,none,7,100,-0.17847,0.73307,1.08557,1.08557,0.47283,0.49575
lipo,top,none,none,none,5,100,-0.34812,0.90721,1.16108,1.16108,-0.02467,-0.03673
lipo,top,none,none,none,9,100,-0.06325,0.79652,1.03114,1.03114,0.20041,0.21873
polymer_o2,top,none,none,none,4,100,-0.0272,0.25272,1.01351,1.01351,-0.01911,0.1731
lipo,top,none,none,none,0,100,-0.18847,0.84043,1.09017,1.09017,0.16248,0.17797
polygas_He,top,none,none,none,2,100,0.41064,0.56491,0.7677,0.7677,0.64092,0.65364
polygas_O2,top,none,none,none,8,100,0.11873,0.6844,0.93876,0.93876,0.421,0.45749
polygas_CO2,top,none,none,none,7,100,-0.3204,0.79214,1.14909,1.14909,0.41587,0.43784
