,polymer_dD,polymer_dP,polymer_dH,solv_dD,solv_dP,solv_dH,Mw (Da),PDI,ϕ,P (MPa),target
432,18.3,3.6,3.03,16.06,0.22,0.47,200000.0,1.06,0.07612,0.1,54.01
433,16.3,9.79,7.12,15.11,15.72,38.81,144000.0,2.06,0.02799,55.85,40.15
434,13.7,3.48,2.56,15.12,0.15,0.21,52000.0,1.19,0.06789,5.9,192.76
435,13.7,3.48,2.56,15.12,0.15,0.21,108000.0,1.32,0.03899,8.0,200.0
436,18.3,3.6,3.03,16.08,15.6,4.73,90100.0,1.04,0.2265,4.96,36.28
437,13.7,3.48,2.56,15.12,0.15,0.21,6500.0,1.04,0.03707,2.8,199.0
438,18.3,3.6,3.03,16.06,0.22,0.47,17500.0,1.06,0.16581,20.0,21.73
439,18.3,3.6,3.03,15.26,14.41,5.54,8000.0,1.09,0.16842,2.82,-3.17
440,17.2,3.53,1.84,15.57,10.24,6.84,26900.0,1.06,0.13583,3.46,96.91
441,17.2,3.53,1.84,16.08,15.6,4.73,27200.0,1.03,0.15421,4.52,-4.08
442,15.6,7.41,4.86,17.31,5.07,12.86,68000.0,1.03,0.00875,0.1,70.87
443,18.3,3.6,3.03,16.67,0.1,1.48,171900.0,1.03,0.11267,0.1,169.6
444,17.2,3.53,1.84,16.08,15.6,4.73,27200.0,1.03,0.24906,1.78,-4.27
445,18.3,3.6,3.03,16.06,0.22,0.47,405000.0,2.83,0.0049,7.44,53.28
446,17.2,3.53,1.84,16.08,15.6,4.73,27200.0,1.03,0.19746,4.95,-4.26
447,13.7,3.48,2.56,15.12,0.15,0.21,60360.0,2.57,0.02635,6.6,200.4
448,18.3,3.6,3.03,16.06,0.22,0.47,405000.0,2.83,0.01836,7.33,54.52
449,18.3,3.6,3.03,16.06,0.22,0.47,16100.0,1.06,0.15784,76.49,20.05
450,18.3,3.6,3.03,16.8,0.19,0.95,423300.0,1.24,0.00923,0.1,23.28
451,18.3,3.6,3.03,16.8,0.19,0.95,111000.0,1.05,0.07929,0.1,21.32
452,18.3,3.6,3.03,16.06,0.22,0.47,109000.0,1.06,0.0344,0.1,48.85
453,18.3,3.6,3.03,16.67,0.1,1.48,1300000.0,1.05,0.02649,0.1,14.0
454,18.3,3.6,3.03,16.8,0.19,0.95,209000.0,2.13,0.0416,0.1,27.15
455,13.7,3.48,2.56,15.12,0.15,0.21,6500.0,1.04,0.01296,6.9,242.0
456,13.7,3.48,2.56,15.12,0.15,0.21,105000.0,2.44,0.16222,6.45,215.05
457,18.3,3.6,3.03,16.8,0.19,0.95,423300.0,1.24,0.04438,0.1,25.58
458,18.3,3.6,3.03,16.08,15.6,4.73,13500.0,1.06,0.2242,2.66,6.01
459,17.5,2.82,2.73,16.06,0.22,0.47,75600.0,1.05,0.03475,0.1,55.85
460,15.6,7.41,4.86,16.05,5.63,3.84,596000.0,1.04,0.1142,0.1,58.57
461,13.7,3.48,2.56,15.12,0.15,0.21,383000.0,1.19,0.03103,9.4,200.0
462,18.3,3.6,3.03,15.08,4.12,5.69,233000.0,1.06,0.02572,0.1,-4.1
463,18.3,3.6,3.03,16.06,0.22,0.47,250000.0,3.91,0.0378,11.3,53.08
464,17.2,3.53,1.84,15.26,14.41,5.54,26700.0,1.05,0.14329,1.42,163.49
465,18.3,3.6,3.03,16.8,0.19,0.95,239000.0,2.78,0.1344,0.1,25.08
466,18.3,3.6,3.03,16.06,0.22,0.47,37900.0,1.01,0.1681,0.1,36.9
467,18.3,3.6,3.03,15.48,7.15,7.95,190000.0,1.04,0.02693,0.1,25.76
468,18.3,3.6,3.03,16.06,0.22,0.47,16100.0,1.06,0.19234,85.51,19.88
469,18.3,3.6,3.03,16.08,15.6,4.73,30740.0,1.06,0.1503,1.9,24.09
470,18.3,3.6,3.03,16.08,15.6,4.73,129200.0,1.03,0.1119,3.26,49.19
471,18.3,3.6,3.03,15.51,10.18,6.73,11500.0,1.07,0.12876,0.1,-24.97
472,18.3,3.6,3.03,15.51,10.18,6.73,22100.0,1.03,0.12794,1.2,57.75
473,18.3,3.6,3.03,16.8,0.19,0.95,769500.0,1.28,0.01222,0.1,26.42
474,18.3,3.6,3.03,17.49,0.16,0.04,270000.0,2.0,0.128,60.0,15.25
475,17.2,3.53,1.84,16.08,15.6,4.73,27200.0,1.03,0.24906,4.07,-4.47
476,18.3,3.6,3.03,16.06,0.22,0.47,17500.0,1.06,0.11796,10.0,22.74
477,17.2,3.53,1.84,16.08,15.6,4.73,27200.0,1.03,0.08149,0.49,-4.64
478,15.6,7.41,4.86,17.31,5.07,12.86,68000.0,1.03,0.01744,0.1,72.05
479,13.7,3.48,2.56,15.12,0.15,0.21,52000.0,1.19,0.05369,3.22,172.45
480,13.8,3.38,4.26,13.11,1.34,1.95,22920.0,1.07,0.05069,0.1,167.0
481,13.7,3.48,2.56,15.12,0.15,0.21,15500.0,1.08,0.1028,3.2,190.0
482,17.2,3.53,1.84,16.08,15.6,4.73,27200.0,1.03,0.1278,4.71,-3.97
483,18.3,3.6,3.03,16.08,15.6,4.73,129200.0,1.03,0.0645,5.61,48.57
484,18.3,3.6,3.03,16.06,0.22,0.47,405000.0,2.83,0.01836,1.16,58.23
485,18.3,3.6,3.03,16.43,15.41,6.15,90100.0,1.04,0.1543,0.48,67.32
486,18.3,3.6,3.03,16.67,0.1,1.48,184000.0,1.07,0.05905,0.1,5.6
487,14.0,6.51,6.76,15.11,15.72,38.81,15481.0,1.27,0.0353,0.1,115.5
488,18.3,3.6,3.03,16.06,0.22,0.47,90000.0,1.04,0.15604,0.1,46.95
489,13.7,3.48,2.56,15.12,0.15,0.21,15500.0,1.08,0.08799,3.2,189.95
490,18.3,3.6,3.03,15.51,10.18,6.73,11500.0,1.07,0.20843,0.1,-26.3
491,18.3,3.6,3.03,16.08,15.6,4.73,13500.0,1.06,0.134,0.15,6.6
492,18.3,3.6,3.03,16.06,0.22,0.47,405000.0,2.83,0.05069,5.74,55.96
493,17.5,2.82,2.73,16.06,0.22,0.47,20100.0,1.02,0.13526,0.1,32.63
494,18.3,3.6,3.03,16.06,0.22,0.47,37900.0,1.01,0.10002,0.1,37.24
495,18.3,3.6,3.03,16.06,0.22,0.47,2700000.0,1.1,0.01408,0.1,66.5
496,16.3,9.79,7.12,15.11,15.72,38.81,10000.0,4.55,0.62792,0.1,29.08
497,18.3,3.6,3.03,16.8,0.19,0.95,190000.0,1.04,0.06262,0.1,24.02
498,18.3,3.6,3.03,16.8,0.19,0.95,769500.0,1.28,0.1337,0.1,25.02
499,13.7,3.48,2.56,15.12,0.15,0.21,52000.0,1.19,0.06059,2.56,168.01
500,13.7,3.48,2.56,15.12,0.15,0.21,52000.0,1.19,0.18736,6.2,206.88
501,16.3,9.79,7.12,15.11,15.72,38.81,53000.0,1.47,0.33592,0.1,27.7
502,17.5,2.82,2.73,15.89,4.11,5.7,29000.0,1.16,0.03284,0.1,-30.6
503,15.6,7.41,4.86,16.05,5.63,3.84,26900.0,1.11,0.1124,0.1,20.31
504,18.3,3.6,3.03,16.8,0.19,0.95,190000.0,1.04,0.01829,0.1,23.1
505,18.3,3.6,3.03,16.08,15.6,4.73,129200.0,1.03,0.0457,4.21,48.48
506,17.2,3.53,1.84,16.43,15.41,6.15,85200.0,1.02,0.1844,4.85,36.5
507,18.3,3.6,3.03,15.57,10.24,6.84,13500.0,1.06,0.17549,0.4,89.68
508,18.3,3.6,3.03,14.88,12.73,8.02,4140.0,1.03,0.12638,3.65,36.0
