,temperature_C,NValance_composition_average,HeatFusion_arithmetic_average,valence_composition_average,ThermalConductivity_composition_average,ThirdIonizationEnergy_composition_average,ElectricalConductivity_arithmetic_average,MiracleRadius_composition_average,pH2O,IonicRadii_composition_average,BulkModulus_composition_average,ThermalExpansionCoefficient_composition_average,BCCfermi_composition_average,Density_composition_average,HHIr_composition_average,Polarizability_composition_average,CovalentRadii_composition_average,Column_composition_average,SpaceGroupNumber_composition_average,BCCenergy_pa_composition_average,SpecificHeatCapacity_composition_average,HeatCapacityMass_composition_average,BCCvolume_pa_composition_average,MendeleevNumber_composition_average,GSenergy_pa_composition_average,target
868,300.0,5.800000000000002,8.772,2.68,19.68684,45.1074,7.199999999999998,102.8,0.05,1.198,38.16,472.88,4.179372369599999,2605.6574,1296.0,7.8652,0.974,11.8,91.48,-3.738254950000001,0.6863600000000001,0.68624,15.25,65.64,-5.1406950280000006,0.033401741
869,300.0,5.76,8.772,2.8,18.89484,44.99344,7.199999999999998,102.8,0.05,1.194,37.76,472.832,4.1918155172,2564.6174,1244.0,7.9012,0.9744,11.76,92.88,-3.7904708616,0.6874800000000001,0.6873600000000001,15.2616,65.52000000000001,-5.1888988366,0.033401741
870,300.0,5.7200000000000015,6.914999999999999,2.92,18.10284,44.87948,4.525,102.8,0.05,1.19,37.36,472.784,4.2042586648,2523.5774,1192.0,7.9372,0.9748,11.72,94.28,-3.842686773200001,0.6886000000000001,0.68848,15.2732,65.4,-5.2371026452,0.029376145
871,300.0,4.76,6.987499999999999,2.3600000000000003,5.62164,42.72424,2.1,109.2,0.05,1.226,15.88,471.732,4.046895512400002,1686.4174,1816.0,10.0392,1.0024,10.76,86.04,-3.5447251176000005,0.7080000000000001,0.7078399999999999,16.9496,56.8,-4.9668976946,0.029376145
872,300.0,4.86,8.352,2.42,6.909640000000001,42.84206,3.92,108.46,0.05,1.222,18.14,471.768,4.086889360200002,1784.1974,1754.0,9.8512,0.997,10.86,86.74000000000002,-3.5869929816000004,0.70562,0.7054600000000001,16.720200000000002,57.68000000000001,-5.0068971200000005,0.047872747
873,300.0,4.96,8.352,2.48,8.19764,42.95988,3.92,107.72,0.05,1.218,20.4,471.804,4.1268832080000015,1881.9774,1692.0,9.663200000000002,0.9915999999999998,10.96,87.44000000000003,-3.6292608456,0.7032400000000001,0.7030799999999999,16.4908,58.56,-5.0468965454,0.047872747
874,300.0,5.0600000000000005,8.352,2.54,9.485639999999998,43.0777,3.92,106.98,0.05,1.214,22.66,471.84,4.1668770558000015,1979.7574,1630.0,9.4752,0.9862,11.06,88.14,-3.6715287096,0.70086,0.7007,16.261400000000002,59.44000000000001,-5.0868959708000006,0.045146825
875,300.0,5.16,8.352,2.6,10.773640000000002,43.19552,3.92,106.24,0.05,1.2099999999999995,24.92,471.876,4.2068709036000005,2077.5374,1568.0,9.2872,0.9808,11.16,88.84000000000002,-3.7137965736,0.69848,0.6983199999999999,16.032,60.32000000000001,-5.1268953962,0.045146825
876,100.0,5.76,8.956000000000003,2.3200000000000003,21.56144,43.90644,7.379999999999999,106.9,0.1,1.234,36.56,474.862,3.4156672156,2353.8174,1318.0,8.5422,1.0594,11.76,92.8,-3.2842304086,0.6877200000000001,0.68712,18.1476,65.38,-4.6789903666,0.0404717329999999
877,180.0,5.76,8.956000000000003,2.3200000000000003,21.56144,43.90644,7.379999999999999,106.9,0.1,1.234,36.56,474.862,3.4156672156,2353.8174,1318.0,8.5422,1.0594,11.76,92.8,-3.2842304086,0.6877200000000001,0.68712,18.1476,65.38,-4.6789903666,0.0404717329999999
878,246.0,5.76,8.956000000000003,2.3200000000000003,21.56144,43.90644,7.379999999999999,106.9,0.1,1.234,36.56,474.862,3.4156672156,2353.8174,1318.0,8.5422,1.0594,11.76,92.8,-3.2842304086,0.6877200000000001,0.68712,18.1476,65.38,-4.6789903666,0.036000273
879,300.0,5.76,8.956000000000003,2.3200000000000003,21.56144,43.90644,7.379999999999999,106.9,0.1,1.234,36.56,474.862,3.4156672156,2353.8174,1318.0,8.5422,1.0594,11.76,92.8,-3.2842304086,0.6877200000000001,0.68712,18.1476,65.38,-4.6789903666,0.036000273
880,337.0,5.76,8.956000000000003,2.3200000000000003,21.56144,43.90644,7.379999999999999,106.9,0.1,1.234,36.56,474.862,3.4156672156,2353.8174,1318.0,8.5422,1.0594,11.76,92.8,-3.2842304086,0.6877200000000001,0.68712,18.1476,65.38,-4.6789903666,0.014567627
881,370.0,5.76,8.956000000000003,2.3200000000000003,21.56144,43.90644,7.379999999999999,106.9,0.1,1.234,36.56,474.862,3.4156672156,2353.8174,1318.0,8.5422,1.0594,11.76,92.8,-3.2842304086,0.6877200000000001,0.68712,18.1476,65.38,-4.6789903666,0.014567627
882,400.0,5.76,8.956000000000003,2.3200000000000003,21.56144,43.90644,7.379999999999999,106.9,0.1,1.234,36.56,474.862,3.4156672156,2353.8174,1318.0,8.5422,1.0594,11.76,92.8,-3.2842304086,0.6877200000000001,0.68712,18.1476,65.38,-4.6789903666,0.016762749
883,421.0,5.76,8.956000000000003,2.3200000000000003,21.56144,43.90644,7.379999999999999,106.9,0.1,1.234,36.56,474.862,3.4156672156,2353.8174,1318.0,8.5422,1.0594,11.76,92.8,-3.2842304086,0.6877200000000001,0.68712,18.1476,65.38,-4.6789903666,0.016762749
884,450.0,5.76,8.956000000000003,2.3200000000000003,21.56144,43.90644,7.379999999999999,106.9,0.1,1.234,36.56,474.862,3.4156672156,2353.8174,1318.0,8.5422,1.0594,11.76,92.8,-3.2842304086,0.6877200000000001,0.68712,18.1476,65.38,-4.6789903666,0.020155211
885,487.0,5.76,8.956000000000003,2.3200000000000003,21.56144,43.90644,7.379999999999999,106.9,0.1,1.234,36.56,474.862,3.4156672156,2353.8174,1318.0,8.5422,1.0594,11.76,92.8,-3.2842304086,0.6877200000000001,0.68712,18.1476,65.38,-4.6789903666,0.020155211
