,DP,2-(diethylamino)ethyl methacrylate,2-hydroxypropyl methacrylate,2-sulfopropyl methacrylate,butyl methacrylate,3-(dimethylamino)propyl methacrylate,methyl methacrylate,poly(ethylene glycol) methyl ether methacrylate,trimethylammonium chloride ethyl methacrylate,target
134,50.0,0.0,0.7,0.0,0.3,0.0,0.0,0.0,0.0,23.4359188079834
135,50.0,0.0,0.8,0.0,0.2,0.0,0.0,0.0,0.0,8.876002311706543
136,50.0,0.0,0.9,0.0,0.1,0.0,0.0,0.0,0.0,1.7460441589355469
137,50.0,0.0,0.1,0.0,0.0,0.9,0.0,0.0,0.0,-7.958609580993652
138,50.0,0.0,0.2,0.0,0.0,0.8,0.0,0.0,0.0,-1.053002119064331
139,50.0,0.0,0.3,0.0,0.0,0.7,0.0,0.0,0.0,3.61539363861084
140,50.0,0.0,0.4,0.0,0.0,0.6,0.0,0.0,0.0,3.6377224922180176
141,50.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,-0.4664351940155029
142,50.0,0.0,0.6,0.0,0.0,0.4,0.0,0.0,0.0,-0.869284987449646
143,50.0,0.0,0.7,0.0,0.0,0.3,0.0,0.0,0.0,-1.4572389125823977
144,50.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.0,-2.32083511352539
145,50.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.0,-0.4774247407913208
146,50.0,0.0,0.1,0.0,0.0,0.0,0.9,0.0,0.0,46.348243713378906
147,50.0,0.0,0.2,0.0,0.0,0.0,0.8,0.0,0.0,50.81892013549805
148,50.0,0.0,0.3,0.0,0.0,0.0,0.7,0.0,0.0,47.31962585449219
149,50.0,0.0,0.4,0.0,0.0,0.0,0.6,0.0,0.0,72.1983642578125
150,50.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,124.5408172607422
151,50.0,0.0,0.6,0.0,0.0,0.0,0.4,0.0,0.0,82.96967315673828
152,50.0,0.0,0.7,0.0,0.0,0.0,0.3,0.0,0.0,26.106033325195312
153,50.0,0.0,0.8,0.0,0.0,0.0,0.2,0.0,0.0,18.9351863861084
154,50.0,0.0,0.9,0.0,0.0,0.0,0.1,0.0,0.0,3.963924407958984
155,50.0,0.0,0.1,0.0,0.0,0.0,0.0,0.9,0.0,61.582122802734375
156,50.0,0.0,0.2,0.0,0.0,0.0,0.0,0.8,0.0,58.39469528198242
157,50.0,0.0,0.3,0.0,0.0,0.0,0.0,0.7,0.0,56.05176162719727
158,50.0,0.0,0.4,0.0,0.0,0.0,0.0,0.6,0.0,39.65166473388672
159,50.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,34.77835464477539
160,50.0,0.0,0.6,0.0,0.0,0.0,0.0,0.4,0.0,31.47790908813477
161,50.0,0.0,0.7,0.0,0.0,0.0,0.0,0.3,0.0,28.60176467895508
162,50.0,0.0,0.8,0.0,0.0,0.0,0.0,0.2,0.0,20.83267593383789
163,50.0,0.0,0.9,0.0,0.0,0.0,0.0,0.1,0.0,8.927913665771484
164,50.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.9,-2.1392979621887207
165,50.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.8,6.003448009490967
166,50.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,6.090317726135254
167,50.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.6,1.2103853225708008
168,50.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,4.223848342895508
169,50.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.4,5.721802234649658
170,50.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.3,3.666117668151856
171,50.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.2,16.894384384155273
172,50.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.1,8.583702087402344
173,50.0,0.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,4.864754676818848
174,50.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,41.96520614624024
175,50.0,0.0,0.0,0.3,0.7,0.0,0.0,0.0,0.0,24.50169563293457
176,50.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,19.703577041625977
177,50.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,15.352182388305664
178,50.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,9.845894813537598
179,50.0,0.0,0.0,0.7,0.3,0.0,0.0,0.0,0.0,2.954073429107666
180,50.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,2.2651867866516118
181,50.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,2.6798527240753174
182,50.0,0.0,0.0,0.1,0.0,0.9,0.0,0.0,0.0,-8.21644401550293
183,50.0,0.0,0.0,0.2,0.0,0.8,0.0,0.0,0.0,-2.775298833847046
184,50.0,0.0,0.0,0.3,0.0,0.7,0.0,0.0,0.0,0.5492376089096069
185,50.0,0.0,0.0,0.4,0.0,0.6,0.0,0.0,0.0,2.19033145904541
186,50.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,3.7237396240234375
187,50.0,0.0,0.0,0.6,0.0,0.4,0.0,0.0,0.0,1.1265783309936523
188,50.0,0.0,0.0,0.7,0.0,0.3,0.0,0.0,0.0,-0.6649652719497681
189,50.0,0.0,0.0,0.8,0.0,0.2,0.0,0.0,0.0,0.9432996511459352
190,50.0,0.0,0.0,0.9,0.0,0.1,0.0,0.0,0.0,-0.1775481700897216
191,50.0,0.0,0.0,0.1,0.0,0.0,0.9,0.0,0.0,38.257442474365234
192,50.0,0.0,0.0,0.2,0.0,0.0,0.8,0.0,0.0,42.07255935668945
193,50.0,0.0,0.0,0.3,0.0,0.0,0.7,0.0,0.0,41.36626815795898
194,50.0,0.0,0.0,0.4,0.0,0.0,0.6,0.0,0.0,40.66952133178711
195,50.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,39.06181716918945
196,50.0,0.0,0.0,0.6,0.0,0.0,0.4,0.0,0.0,33.27602767944336
197,50.0,0.0,0.0,0.7,0.0,0.0,0.3,0.0,0.0,22.522178649902344
198,50.0,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0,13.57949447631836
199,50.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,8.297416687011719
200,50.0,0.0,0.0,0.1,0.0,0.0,0.0,0.9,0.0,47.94844055175781
201,50.0,0.0,0.0,0.2,0.0,0.0,0.0,0.8,0.0,38.05330276489258
202,50.0,0.0,0.0,0.3,0.0,0.0,0.0,0.7,0.0,24.40761375427246
203,50.0,0.0,0.0,0.4,0.0,0.0,0.0,0.6,0.0,17.204008102416992
204,50.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,13.312530517578123
205,50.0,0.0,0.0,0.6,0.0,0.0,0.0,0.4,0.0,11.482272148132324
